,ID,Followers,following,sn_len,ds_len,tweet_count,retweet_count,label,reputation,AgeOfAccount,TweetPerDay
0,1.36890400405134E+018,1213,2229,14,135,8876,5,0,0.352411388727484,2774,2.61443298969072
1,1.36890400360675E+018,4,157,15,0,1445,13,0,0.024844720496894,160,0.425625920471281
2,1.36890400328788E+018,5731,50,14,101,6934,0,0,0.991350977339561,2499,2.04241531664212
3,1.36890400319571E+018,453,968,8,157,60866,319,0,0.318789584799437,3187,17.9281296023564
4,1.36890400023867E+018,666,212,10,68,97560,0,0,0.758542141230068,3670,28.7363770250368
5,1.36890399960101E+018,36,89,11,33,4605,18,0,0.288,227,1.35640648011782
6,1.36890399839742E+018,511,2722,12,94,29876,6,0,0.158057531704299,1228,8.8
7,1.36890399836799E+018,83,132,14,0,11042,168,0,0.386046511627907,1454,3.25243004418262
8,1.36890399796541E+018,2861,178,12,156,94817,0,0,0.941428101349128,565,27.9284241531664
9,1.36890399788154E+018,219,756,13,0,4418,0,1,0.224615384615385,3572,1.30132547864507
10,1.36890399722302E+018,723,169,9,148,1450,0,0,0.810538116591928,4000,0.427098674521355
11,1.36890399272672E+018,1218,1635,9,121,58242,2,0,0.426919032597266,3959,17.1552282768778
12,1.36890399025208E+018,158,301,15,125,1018,1,0,0.344226579520697,3676,0.299852724594993
13,1.36890398958519E+018,5793,954,7,155,21036,0,0,0.858603823921743,1747,6.19617083946981
14,1.36890398707701E+018,368,806,7,124,3216,1,1,0.313458262350937,4375,0.947275405007364
15,1.36890398682114E+018,10859,772,6,0,20411,0,0,0.933625655575617,4340,6.0120765832106
16,1.36890398415775E+018,185,447,9,0,57825,5876,0,0.292721518987342,2874,17.0324005891016
17,1.36890398365439E+018,31289,157,12,155,19110,0,0,0.995007314125803,4338,5.62886597938144
18,1.3689039825262E+018,1266,489,10,89,42709,0,0,0.721367521367521,3840,12.579970544919
19,1.36890398237938E+018,14,106,13,65,635,15,0,0.116666666666667,2973,0.187039764359352
20,1.36890398227447E+018,1109,1950,10,139,104489,23,0,0.36253677672442,885,30.7773195876289
21,1.36890397806763E+018,157,1894,12,0,1060,1,1,0.076548025353486,1013,0.312223858615611
22,1.36890397750979E+018,2525,873,13,160,10523,1,0,0.743084167157151,3856,3.09955817378498
23,1.36890397541685E+018,4019,1331,11,33,53297,125,0,0.751214953271028,1796,15.6986745213549
24,1.36890397394046E+018,8140,2801,11,156,54213,8,0,0.743990494470341,1655,15.9684830633284
25,1.36890397181808E+018,257,463,13,0,10095,2,0,0.356944444444444,210,2.97349042709867
26,1.3689039694693E+018,585,1802,6,0,68935,117,0,0.245077503142019,3761,20.3048600883652
27,1.36890396917151E+018,547,1574,13,154,6841,0,0,0.257897218293258,4058,2.01502209131075
28,1.36890396831587E+018,2133,619,11,107,4857,12,0,0.775072674418605,2110,1.43063328424153
29,1.36890396720429E+018,246,231,12,5,3198,7,0,0.515723270440252,372,0.941973490427099
30,1.36890396598803E+018,11,89,15,52,54,134,0,0.11,166,0.015905743740795
31,1.36890396148744E+018,3256,76,10,44,146587,13,0,0.97719087635054,3007,43.1773195876289
32,1.36890395922664E+018,434,349,11,31,41270,812,0,0.554278416347382,3962,12.1561119293078
33,1.36890395845507E+018,1262,1189,9,134,5664,158,0,0.514891880864953,1643,1.66833578792342
34,1.36890395689041E+018,246,231,12,5,3198,85,0,0.515723270440252,372,0.941973490427099
35,1.3689039542482E+018,322,161,13,31,129707,346,0,0.666666666666667,4350,38.2053019145803
36,1.36890395289756E+018,169,494,11,135,396,2,1,0.254901960784314,1723,0.116642120765832
37,1.3689039522433E+018,6,24,9,120,240,0,0,0.2,356,0.070692194403535
38,1.36890395140027E+018,0,7,11,0,103,0,1,0,1389,0.030338733431517
39,1.36890395036006E+018,635,2967,6,0,25299,15,0,0.176290949472515,4447,7.45184094256259
40,1.3689039474827E+018,837,1627,11,23,1535,157,0,0.339691558441558,264,0.452135493372607
41,1.36890394616152E+018,2668,2244,12,47,3125,3,0,0.543159609120521,4217,0.920471281296024
42,1.36890394458452E+018,23875,20693,11,29,122909,0,0,0.535698258840424,4574,36.2029455081001
43,1.36890394417339E+018,3724,1165,13,152,17955,1,0,0.761709961137247,3507,5.28865979381443
44,1.36890394150158E+018,4,3,9,102,22,0,0,0.571428571428571,58,0.006480117820324
45,1.36890394143039E+018,836,1068,8,114,37352,2,0,0.439075630252101,167,11.0020618556701
46,1.36890393742056E+018,6447,2802,9,160,48734,4,0,0.69704832954914,4713,14.3546391752577
